"","Connectivity","P_Value"
"BCB000038",0,1
"vinblastine",0,1
"bromopride",-0.22681,1
"cefazolin",-0.266405,0.996839912124176
"10-methoxyharmalan",-0.281535,0.974799194880505
"fenoprofen",-0.283545,0.983641243386392
"tocainide",-0.28489,0.985947743926679
"mesoridazine",-0.28923,0.98843973831638
"pheneticillin",-0.296795,0.962817768660102
"spiramycin",-0.297265,0.986074277459399
"gibberellic acid",-0.306915,0.878223596544916
"allantoin",-0.30834,0.977889949403707
"thioperamide",-0.308965,0.979498848772694
"nisoxetine",-0.309945,0.959757365360393
"lobeline",-0.3134,0.987325632745823
"ganciclovir",-0.31366,0.927146667218199
"tyloxapol",-0.31686,0.973281892039514
"ceftazidime",-0.31753,0.967901779112278
"azathioprine",-0.321365,0.911402077970473
"tobramycin",-0.322175,0.958573053614746
"meticrane",-0.3226,0.947666803067246
"melatonin",-0.32314,0.957555810278886
"azlocillin",-0.328595,0.923010257324589
"pseudopelletierine",-0.32932,0.933209242197666
"cinchonine",-0.32964,0.966598354793496
"nordihydroguaiaretic acid",-0.33051,0.95853773861681
"aminophenazone",-0.334835,0.945709282410449
"dipyridamole",-0.336565,0.878586388352404
"enalapril",-0.337675,0.913431204020986
"todralazine",-0.338695,0.912185312161499
"paroxetine",-0.341075,0.939940965455774
"urapidil",-0.34273,0.818145163019148
"ornidazole",-0.3465,0.895551675452548
"blebbistatin",-0.346695,0.921811524778088
"strophanthidin",-0.34736,0.930899547029578
"dantrolene",-0.34806,0.91748767940716
"trimetazidine",-0.3501,0.858708549635528
"tranexamic acid",-0.3528,0.925656370315077
"ozagrel",-0.355225,0.615451641042499
"torasemide",-0.35866,0.762309878780995
"memantine",-0.35943,0.752031500895389
"kinetin",-0.359785,0.839682909277121
"ketotifen",-0.36126,0.795344523825753
"ifosfamide",-0.363935,0.865647732944456
"medrysone",-0.3688,0.825307215302964
"Prestwick-689",-0.37166,0.890263585947975
"levonorgestrel",-0.37308,0.869011281007209
"meclofenoxate",-0.3743,0.779678851802192
"Prestwick-984",-0.374885,0.852503261656321
"BCB000040",-0.37646,0.931951539633297
"droperidol",-0.376635,0.839326700959033
"bendroflumethiazide",-0.38265,0.86744579905933
"pempidine",-0.384715,0.75795944747173
"tribenoside",-0.386705,0.837123819788498
"cimetidine",-0.38672,0.564224515679462
"papaverine",-0.38699,0.748147446026801
"luteolin",-0.38701,0.834024927767785
"equilin",-0.389555,0.58804568937975
"pipenzolate bromide",-0.39033,0.810301505761887
"bumetanide",-0.393755,0.724990996167693
"Prestwick-864",-0.394055,0.907515042409491
"iocetamic acid",-0.39448,0.828293174565382
"phenindione",-0.395545,0.776948925557659
"ebselen",-0.396795,0.784038869347531
"etofylline",-0.397105,0.666231864194391
"thioguanosine",-0.40184,0.787430137468834
"asiaticoside",-0.402425,0.787231514083944
"hydroflumethiazide",-0.40537,0.783383766025441
"fluphenazine",-0.407115,0.830209728800042
"chlorcyclizine",-0.407255,0.609656697785053
"methoxamine",-0.407525,0.793471394536636
"tolbutamide",-0.407975,0.743857814654957
"nifurtimox",-0.409275,0.49547879193266
"chenodeoxycholic acid",-0.41139,0.71782870903881
"acacetin",-0.414255,0.71703181640415
"phenanthridinone",-0.41456,0.79517058388362
"sulfamethoxypyridazine",-0.416285,0.612175392592145
"fulvestrant",-0.41851,0.825900582342774
"IC-86621",-0.41955,0.88933341722777
"clomifene",-0.420255,0.803297843551636
"imipenem",-0.421155,0.729674675906757
"lactobionic acid",-0.42217,0.471604644412718
"saquinavir",-0.42242,0.63693290319293
"levocabastine",-0.4225,0.38528850393254
"bacampicillin",-0.423005,0.76267428975907
"amylocaine",-0.42367,0.846574889927421
"picrotoxinin",-0.423755,0.585956472269836
"quinethazone",-0.423765,0.776148438514007
"bezafibrate",-0.424995,0.611787396047831
"quinostatin",-0.425095,0.588250239361987
"trifluoperazine",-0.42526,0.789281377349031
"digoxin",-0.428485,0.881974372232823
"tolfenamic acid",-0.429515,0.381451187765128
"valdecoxib",-0.43045,0.861333879973816
"nitrofurantoin",-0.430815,0.632187937098088
"tetracaine",-0.43192,0.723903998194241
"syrosingopine",-0.43218,0.697486511180106
"0173570-0000",-0.43509,0.806481363274372
"fendiline",-0.436275,0.750478559728659
"lanatoside C",-0.437055,0.821246523852375
"piperacetazine",-0.440305,0.753892480456081
"famprofazone",-0.44048,0.628781709496951
"doxepin",-0.44131,0.580392682944034
"orlistat",-0.441355,0.756680442236066
"gliclazide",-0.441825,0.606108256535991
"folic acid",-0.44265,0.731796349813012
"roxithromycin",-0.44308,0.56694149865296
"pindolol",-0.443945,0.585623348551531
"alpha-estradiol",-0.444185,0.534609259998879
"epitiostanol",-0.44464,0.661191490700759
"propranolol",-0.44524,0.669869624756575
"demecolcine",-0.44526,0.707253016702471
"tamoxifen",-0.445965,0.509997860301889
"zidovudine",-0.446905,0.669737430788396
"proguanil",-0.447825,0.654190846967427
"depudecin",-0.44816,0.604989910470457
"Prestwick-860",-0.44876,0.40908381978418
"yohimbine",-0.449385,0.452595093956755
"flunarizine",-0.450775,0.518981220043771
"theobromine",-0.45193,0.654082057649716
"nifenazone",-0.4542,0.564004399299915
"pyrimethamine",-0.45492,0.450982280271008
"thalidomide",-0.45539,0.621045106274694
"epirizole",-0.456435,0.651590255553906
"naftidrofuryl",-0.45652,0.579627315233313
"chlorpropamide",-0.45803,0.635554377671347
"SC-58125",-0.45851,0.763904091403216
"sanguinarine",-0.4589,0.578665691750576
"chlorogenic acid",-0.45926,0.677428650062514
"alpha-ergocryptine",-0.45975,0.726693719391171
"cicloheximide",-0.46091,0.814409354091858
"pyrvinium",-0.461085,0.729189222525241
"flupentixol",-0.46163,0.579343351232076
"praziquantel",-0.46328,0.415941240558448
"azacyclonol",-0.463295,0.593262844778343
"vincamine",-0.464365,0.553605021774084
"butacaine",-0.464495,0.413936297766776
"benzylpenicillin",-0.464655,0.544379979883884
"trimethadione",-0.465215,0.462531755159294
"hydralazine",-0.46619,0.4506585793619
"digoxigenin",-0.46648,0.819496115816004
"tetrandrine",-0.46654,0.557952936147183
"doxazosin",-0.466645,0.57022457405953
"halcinonide",-0.46678,0.574602185581079
"iopanoic acid",-0.46686,0.53633947249749
"metergoline",-0.467635,0.702679943510273
"fluvoxamine",-0.46815,0.649989124828193
"altizide",-0.47178,0.543228921428634
"5213008",-0.476605,0.645478639295948
"scriptaid",-0.476685,0.757085267254754
"midodrine",-0.476795,0.560230634685249
"verteporfin",-0.47754,0.746988899361409
"glycopyrronium bromide",-0.47819,0.641739115350795
"chlorphenamine",-0.48009,0.611048578446536
"corynanthine",-0.482965,0.571454403030501
"dihydroergotamine",-0.483225,0.433840075730268
"5255229",-0.48329,0.637608762523233
"mefloquine",-0.48336,0.602907326212443
"dirithromycin",-0.48458,0.303065982205661
"alfadolone",-0.484675,0.462645567174098
"laudanosine",-0.48564,0.311399633009247
"solasodine",-0.48668,0.569030006400032
"lansoprazole",-0.486955,0.646650526334598
"hexylcaine",-0.487985,0.216364798248781
"sulfanilamide",-0.48885,0.503128097051793
"ciprofibrate",-0.489065,0.561217214655782
"reserpine",-0.49028,0.334756145425357
"flavoxate",-0.490365,0.6449658280255
"methacholine chloride",-0.490835,0.473346012118518
"proscillaridin",-0.49141,0.758127238393648
"perphenazine",-0.49163,0.471723891361674
"glycocholic acid",-0.49367,0.248680612322693
"thiamazole",-0.493865,0.576153696621416
"sulfapyridine",-0.495935,0.484724079514616
"calycanthine",-0.4982,0.522785402956343
"emetine",-0.498545,0.460374714311964
"baclofen",-0.49916,0.440073739890008
"colforsin",-0.499575,0.59864848723863
"Trolox C",-0.500825,0.410724259916317
"H-7",-0.502765,0.489202000022458
"wortmannin",-0.502925,0.389218250276055
"pivmecillinam",-0.503575,0.435905819702574
"Prestwick-1083",-0.504385,0.480443453755727
"dexibuprofen",-0.505165,0.377651970551171
"stachydrine",-0.505765,0.329779297052306
"cyclopentolate",-0.506015,0.453213767231815
"thioridazine",-0.506035,0.713733018880837
"carbarsone",-0.50649,0.39611395157272
"noretynodrel",-0.50723,0.394027726067211
"nialamide",-0.507425,0.423003667249325
"gallamine triethiodide",-0.50774,0.355249128344538
"diflorasone",-0.50806,0.247418538820065
"spectinomycin",-0.50969,0.313111047237639
"loperamide",-0.509735,0.470870352220179
"amikacin",-0.51011,0.185350066948721
"troglitazone",-0.510815,0.37453758470866
"aminoglutethimide",-0.511065,0.497480663080631
"ambroxol",-0.51136,0.218010202208252
"Prestwick-559",-0.51251,0.611803365725609
"oxantel",-0.513635,0.422049924193162
"etanidazole",-0.513845,0.491405635470346
"timolol",-0.514515,0.482581057089698
"monensin",-0.515415,0.415943502256055
"0297417-0002B",-0.517145,0.61313478314664
"nomegestrol",-0.51745,0.396796989291529
"rifampicin",-0.517625,0.400417429092934
"hemicholinium",-0.518075,0.345959360100673
"propylthiouracil",-0.519355,0.450320453179687
"verapamil",-0.5207,0.299845725881902
"chlortetracycline",-0.525045,0.415770953414429
"cephaeline",-0.525295,0.294942860096154
"dihydroergocristine",-0.529045,0.390209542786441
"nicergoline",-0.52929,0.218139824911569
"iproniazid",-0.533865,0.222083715881208
"flumetasone",-0.53435,0.347729704634158
"nefopam",-0.534665,0.392000883199696
"diltiazem",-0.53477,0.229109203402621
"bethanechol",-0.535455,0.332485384902072
"mimosine",-0.53575,0.148578485149525
"molsidomine",-0.53582,0.344124756314891
"norethisterone",-0.53755,0.192297275633965
"5211181",-0.53787,0.285887750107172
"santonin",-0.538125,0.16257609219725
"kanamycin",-0.5384,0.329605511384398
"dimethadione",-0.53932,0.270125960911845
"benzamil",-0.54017,0.500929435955279
"amoxicillin",-0.541265,0.368596893192821
"AH-23848",-0.541925,0.576298214944575
"primidone",-0.54199,0.0892588976944531
"PNU-0230031",-0.54203,0.421551877335825
"famotidine",-0.544215,0.379535339378522
"BW-B70C",-0.544425,0.335820673471858
"oxaprozin",-0.546635,0.341461698903496
"articaine",-0.546735,0.41284391146564
"triflusal",-0.546745,0.358614356493973
"iodixanol",-0.54681,0.377171000017001
"(+/-)-catechin",-0.54871,0.1897986035676
"furosemide",-0.549635,0.258410446552148
"AG-013608",-0.5521,0.32405971619301
"amodiaquine",-0.55244,0.22465248146513
"pirlindole",-0.5532,0.0891966987921751
"corticosterone",-0.5544,0.232168815075188
"proxymetacaine",-0.554895,0.248942431556425
"CP-319743",-0.55546,0.391423835664542
"carcinine",-0.55847,0.350148105483795
"digitoxigenin",-0.55934,0.34067139804687
"esculin",-0.562645,0.239284523861054
"raloxifene",-0.5634,0.303552512177528
"latamoxef",-0.565095,0.227877092451953
"bromocriptine",-0.565515,0.228011415824663
"PNU-0293363",-0.56567,0.399744410074519
"fluvastatin",-0.56567,0.24618105599633
"rofecoxib",-0.568505,0.205589599283487
"pentetrazol",-0.56853,0.209814673040096
"harmine",-0.56934,0.369423167864006
"glipizide",-0.570765,0.260365095334754
"cefalotin",-0.57274,0.122042506852202
"bisacodyl",-0.573375,0.346452719733351
"Prestwick-691",-0.573475,0.269964682479979
"lincomycin",-0.573675,0.0855076295933037
"hexestrol",-0.57389,0.326436873126035
"meglumine",-0.57525,0.148082116961063
"mepacrine",-0.575765,0.339909506524621
"triflupromazine",-0.576745,0.208883274767293
"oxybenzone",-0.588515,0.166639335766475
"oxetacaine",-0.59114,0.144732683377817
"cyclic adenosine monophosphate",-0.59452,0.226718136864944
"atropine oxide",-0.595175,0.225050691774845
"pramocaine",-0.59852,0.306799361624957
"5279552",-0.59985,0.0744468451993234
"propidium iodide",-0.60089,0.163870223955888
"ticlopidine",-0.60473,0.231772959361812
"carbamazepine",-0.60634,0.09779465368389
"benserazide",-0.60669,0.177854826464585
"6-azathymine",-0.60698,0.177929411702005
"oleandomycin",-0.60896,0.138878196197726
"thioproperazine",-0.611955,0.0872495074762585
"meclofenamic acid",-0.611995,0.159670886410288
"prazosin",-0.61482,0.0972594642826571
"demecarium bromide",-0.62073,0.0842622791430039
"sodium phenylbutyrate",-0.621945,0.239624280286287
"artemisinin",-0.62279,0.235483469129344
"CP-645525-01",-0.625255,0.20803297590674
"felodipine",-0.62657,0.0462923806509474
"triprolidine",-0.62693,0.143929153710414
"sirolimus",-0.628005,0.356338577360901
"metampicillin",-0.628345,0.161043193166397
"bupivacaine",-0.63749,0.0926560268610271
"pentoxifylline",-0.6405,0.0490758004863621
"tacrine",-0.6456,0.0964309335658029
"citiolone",-0.646185,0.0766277715515906
"tiratricol",-0.64813,0.0630831380769025
"L-methionine sulfoximine",-0.64965,0.102635879620334
"celecoxib",-0.65109,0.0559700900903712
"PHA-00851261E",-0.65211,0.0532914559198
"harmol",-0.656615,0.103778558350031
"piretanide",-0.658145,0.0494919590293917
"NS-398",-0.663365,0.158034903574365
"aciclovir",-0.663465,0.0758552966865605
"amiloride",-0.665575,0.0507310147347891
"W-13",-0.669675,0.437025779289887
"LY-294002",-0.676615,0.083737097793648
"lisinopril",-0.677265,0.0466414734012326
"CP-320650-01",-0.68199,0.0303378230332487
"spironolactone",-0.68511,0.0790427926478446
"LM-1685",-0.68776,0.0769104423039113
"AG-012559",-0.68883,0.11196139978357
"difenidol",-0.69181,0.0620324731655994
"5707885",-0.69427,0.114418915582149
"5140203",-0.69798,0.0305132868810091
"SB-202190",-0.69821,0.0713640026678461
"PF-00875133-00",-0.71307,0.133208767341381
"diprophylline",-0.73304,0.0162650990447962
"kawain",-0.74996,0.0174282422638311
